		 580  685  791  896 1002 1107 1213 1318 1424 1529 1635 1740 1846 1951 2057 2162 2268 2373 2479 2584 2690 
Average
1.57	0.00 0.00 9.22 9.05 9.32 9.47 0.00 9.30 9.29 9.32 9.21 8.97 8.22 8.64 8.30 7.50 7.77 0.00 0.00 8.20 0.00 
1.71	0.00 9.23 0.00 0.00 0.00 9.33 9.07 9.03 9.25 9.37 9.23 9.22 8.96 8.40 8.35 8.14 0.00 0.00 0.00 8.01 0.00 
1.85	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.32 9.33 8.98 8.92 8.39 8.28 8.21 0.00 0.00 0.00 7.90 0.00 
1.99	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.29 9.21 8.74 8.83 8.35 8.34 7.89 0.00 0.00 7.99 0.00 
2.12	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.31 9.15 8.94 8.81 8.73 8.05 0.00 0.00 7.99 8.05 0.00 
2.26	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.90 8.62 8.58 8.46 8.05 0.00 8.01 0.00 0.00 
2.40	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.53 8.33 8.43 8.25 8.11 0.00 0.00 
2.54	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.27 8.08 7.99 0.00 0.00 0.00 

Minimum
0.32	0.00 0.00 0.00 0.00 9.61 9.62 8.95 9.12 8.02 8.01 7.99 7.98 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.46	0.00 9.40 9.20 8.65 8.70 8.37 8.24 8.06 8.64 0.00 0.00 0.00 7.98 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.60	9.05 8.81 8.99 8.65 8.95 9.00 8.89 8.90 8.53 8.48 8.48 0.00 0.00 7.79 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.74	8.93 9.01 9.20 8.67 9.04 8.88 8.86 8.90 8.90 8.85 8.48 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.88	9.09 9.08 8.64 8.71 8.69 8.66 8.92 8.84 8.92 8.90 9.02 8.37 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
1.01	9.06 8.94 8.80 8.69 8.84 8.62 8.85 8.81 8.85 8.82 8.81 8.78 0.00 0.00 7.42 0.00 0.00 0.00 0.00 0.00 0.00 
1.15	9.00 9.04 8.95 8.76 8.77 8.90 9.01 8.95 8.78 8.77 8.89 8.22 8.85 8.98 8.89 0.00 0.00 0.00 0.00 0.00 0.00 
1.29	9.17 9.12 9.08 8.84 8.79 8.89 9.01 8.97 8.94 8.78 8.51 7.95 7.78 0.00 8.47 8.54 0.00 8.50 8.51 8.36 8.36 
