Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
22.52800,8.98,580,0.82
22.60992,9.00,580,0.81
22.69184,9.00,580,0.81
22.77376,9.00,580,0.81
22.85568,9.02,580,0.81
22.93760,9.01,580,0.81
23.01952,9.02,580,0.81
23.10144,9.03,580,0.81
23.18336,9.03,580,0.82
23.26528,9.03,580,0.82
23.34720,9.01,580,0.82
23.42912,9.03,580,0.82
23.51104,9.03,580,0.82
23.59296,9.04,580,0.82
23.67488,9.06,580,0.82
23.75680,9.05,580,0.82
23.83872,9.05,580,0.82
23.92064,9.04,580,0.82
24.00256,9.03,580,0.82
24.08448,9.03,580,0.81
24.16640,9.01,580,0.81
24.24832,9.01,580,0.81
24.33024,8.99,580,0.81
24.41216,8.99,580,0.81
24.49408,9.01,580,0.81
24.57600,9.02,580,0.81
24.65792,9.03,580,0.81
24.73984,9.03,580,0.80
24.82176,9.06,580,0.81
24.90368,9.08,580,0.81
24.98560,9.09,580,0.82
25.06752,9.10,580,0.82
25.14944,9.08,580,0.82
25.23136,9.08,580,0.82
25.31328,9.06,580,0.81
25.39520,9.05,580,0.81
25.47712,9.05,580,0.81
25.55904,9.04,580,0.82
25.64096,9.05,580,0.82
25.72288,9.04,580,0.82
25.80480,9.04,580,0.82
25.88672,9.03,580,0.81
25.96864,9.01,580,0.81
26.05056,9.01,580,0.81
26.13248,9.00,580,0.81
26.21440,9.00,580,0.81
26.29632,9.01,580,0.81
26.37824,9.01,580,0.81
26.46016,9.01,580,0.81
26.54208,9.02,580,0.81
26.62400,9.03,580,0.82
26.70592,9.01,580,0.82
26.78784,9.00,580,0.82
26.86976,9.02,580,0.82
26.95168,9.01,580,0.81
27.03360,9.02,580,0.81
27.11552,9.02,580,0.81
27.19744,9.04,580,0.81
27.27936,9.04,580,0.81
27.36128,9.03,580,0.82
27.44320,9.06,580,0.82
27.52512,9.05,580,0.82
27.60704,9.06,580,0.82
27.68896,9.06,580,0.81
27.77088,9.05,580,0.82
27.85280,9.07,580,0.82
27.93472,9.07,580,0.82
28.01664,9.08,580,0.82
28.09856,9.08,580,0.82
28.18048,9.07,580,0.82
28.26240,9.05,580,0.82
28.34432,9.02,580,0.81
28.42624,9.01,580,0.81
28.50816,9.01,580,0.81
28.59008,9.01,580,0.81
